"DIRECTORIO","SECUENCIA_P","ORDEN","FEX_C"
8483437,1,2,1405.53568491548
8483437,1,3,1405.53568491548
8483437,1,4,1405.53568491548
8483438,1,1,1886.47881227679
8483438,1,2,1886.47881227679
8483438,1,3,1886.47881227679
8483438,1,4,1886.47881227679
8483439,1,1,1570.67902148265
8483439,1,2,1570.67902148265
8483439,1,3,1570.67902148265
8483439,1,4,1570.67902148265
8483440,1,1,1320.135240417
8483440,1,2,1320.135240417
8483440,1,3,1320.135240417
8483443,1,1,1577.33358722602
8483444,1,1,1576.58625429577
8483444,1,2,1576.58625429577
8483445,1,1,1278.35732284699
8483445,1,2,1278.35732284699
8483445,1,3,1278.35732284699
8483446,1,1,1417.95301822633
8483446,1,2,1417.95301822633
8483446,1,3,1417.95301822633
8483447,1,1,1603.68069281202
8483447,1,2,1603.68069281202
8483447,1,3,1603.68069281202
8484435,1,1,524.356373888288
8484435,1,2,524.356373888288
8486994,1,1,1591.26335950117
8486994,1,2,1591.26335950117
8486994,1,3,1591.26335950117
8486994,1,4,1591.26335950117
8404101,1,1,197.319489738591
8404102,1,1,154.122559912146
8404102,1,2,154.122559912146
8404102,1,3,154.122559912146
8404102,1,4,154.122559912146
8404102,1,5,154.122559912146
8404102,1,6,154.122559912146
8404103,1,1,203.416405531538
8404103,1,2,203.416405531538
8404104,1,1,197.319489738591
8404105,1,1,152.677224823385
8404105,1,2,152.677224823385
8404107,1,1,214.665676376452
8404107,1,2,214.665676376452
8404107,1,3,214.665676376452
8404107,1,4,214.665676376452
8404109,1,1,193.899267118544
8404109,1,2,193.899267118544
8404109,1,3,193.899267118544
8404110,1,1,292.606442486704
8404110,1,2,292.606442486704
8404110,1,3,292.606442486704
8404110,1,4,292.606442486704
8404110,1,5,292.606442486704
8408689,1,1,421.823164705138
8408689,1,2,421.823164705138
8408689,1,3,421.823164705138
8408689,1,4,421.823164705138
8408691,1,1,331.96969206356
8408691,1,2,331.96969206356
8408692,1,1,307.980587931377
8408692,1,2,307.980587931377
8408692,1,3,307.980587931377
8408692,1,4,307.980587931377
8408693,1,1,150.524411318752
8408693,1,2,150.524411318752
8408693,1,3,150.524411318752
8408695,1,1,254.395375200167
8408696,1,1,196.840058449984
8408696,1,2,196.840058449984
8408697,1,1,381.633696017441
8408697,1,2,381.633696017441
8408697,1,3,381.633696017441
8408697,1,4,381.633696017441
8408697,1,5,381.633696017441
8408697,1,6,381.633696017441
8408698,1,1,278.833044614704
8408698,1,2,278.833044614704
8408698,1,3,278.833044614704
8408699,1,1,281.037816221015
8408699,1,2,281.037816221015
8408700,1,1,314.099538699772
8408700,1,2,314.099538699772
8408700,1,3,314.099538699772
8408700,1,4,314.099538699772
8408702,1,1,254.81050538636
8408702,1,2,254.81050538636
8408702,1,3,254.81050538636
8408703,1,1,239.661510517158
8408703,1,2,239.661510517158
8408704,1,1,201.066299723067
8408704,1,2,201.066299723067
8408704,1,3,201.066299723067
8408704,1,4,201.066299723067
8408705,1,1,137.556154343598
8408705,1,2,137.556154343598
8408706,1,1,137.556154343598
8408706,1,2,137.556154343598
8408706,1,3,137.556154343598
8408707,1,1,232.478235182921
8408708,1,1,179.734927693551
8408708,1,2,179.734927693551
8408708,1,3,179.734927693551
8408709,1,1,137.556154343598
8408709,1,2,137.556154343598
8408710,1,1,220.254996298369
8408710,1,2,220.254996298369
8408710,1,3,220.254996298369
8408710,1,4,220.254996298369
8408711,1,1,137.556154343598
8408711,1,2,137.556154343598
8412972,1,1,411.39016420433
8412972,1,2,411.39016420433
8412972,1,3,411.39016420433
8412972,1,4,411.39016420433
8412973,1,1,239.083439103077
8412973,1,2,239.083439103077
8412973,1,3,239.083439103077
8412974,1,1,293.348020882706
8412974,1,2,293.348020882706
8412976,1,1,232.557614252447
8412977,1,1,330.800228182571
8412977,1,2,330.800228182571
8412977,1,3,330.800228182571
8412977,1,4,330.800228182571
8412978,1,1,416.488628782784
8412978,1,2,416.488628782784
8412978,1,3,416.488628782784
8412978,1,4,416.488628782784
8418110,1,1,355.094522707008
8418110,1,2,355.094522707008
8418111,1,1,605.055417435212
8418111,1,2,605.055417435212
8418111,1,3,605.055417435212
8418111,1,4,605.055417435212
8418113,1,1,268.129879817559
8418113,1,2,268.129879817559
8418113,1,3,268.129879817559
8418113,1,4,268.129879817559
8418113,1,5,268.129879817559
8418113,1,6,268.129879817559
8418113,1,7,268.129879817559
8418114,1,1,453.155742520189
8418118,1,1,268.129879817559
8418118,1,2,268.129879817559
8418118,1,3,268.129879817559
8418118,1,4,268.129879817559
8418118,1,5,268.129879817559
8418118,1,6,268.129879817559
8418119,1,1,547.31883864148
8418119,1,2,547.31883864148
8418119,1,3,547.31883864148
8418123,1,1,246.216602219981
8418123,1,2,246.216602219981
8418124,1,1,360.15805603176
8418124,1,2,360.15805603176
8418124,1,3,360.15805603176
8418126,1,1,321.976282436386
8418126,1,2,321.976282436386
8418127,1,1,559.227772608344
8418127,1,2,559.227772608344
8418127,1,3,559.227772608344
8418127,1,4,559.227772608344
8418127,1,5,559.227772608344
8418128,1,1,590.21230186312
8418128,1,2,590.21230186312
8418128,1,3,590.21230186312
8418128,1,4,590.21230186312
8418129,1,1,689.986862871321
8418129,1,2,689.986862871321
8418129,1,3,689.986862871321
8418129,1,4,689.986862871321
8418134,1,1,574.634968018682
8418134,1,2,574.634968018682
8418134,1,3,574.634968018682
8418135,1,1,513.575565630955
8418135,1,2,513.575565630955
8418136,1,1,326.123754219499
8418136,1,2,326.123754219499
8418137,1,1,424.429002164427
8418137,1,2,424.429002164427
8418137,1,3,424.429002164427
8418138,1,1,365.957122660128
8418138,1,2,365.957122660128
8418138,1,3,365.957122660128
8418139,1,1,243.754436197781
8418139,1,2,243.754436197781
8422484,1,1,244.124305734782
8422485,1,1,191.296712569432
8422485,1,2,191.296712569432
8422486,1,1,188.89275236268
8422486,1,2,188.89275236268
8422487,1,1,191.91616073572
8422487,1,2,191.91616073572
8422487,1,3,191.91616073572
8422487,1,4,191.91616073572
8422488,1,1,191.008507561732
8422492,1,1,429.306218114488
8422492,1,2,429.306218114488
8422492,1,3,429.306218114488
8422492,1,4,429.306218114488
8422492,1,5,429.306218114488
8422494,1,1,144.447073302389
8422494,1,2,144.447073302389
8422496,1,1,144.447073302389
8422496,1,2,144.447073302389
8422496,1,3,144.447073302389
8422497,1,1,213.254534654829
8422497,1,2,213.254534654829
8422497,1,3,213.254534654829
8429507,1,1,296.13518265447
8429507,1,2,296.13518265447
8429507,1,3,296.13518265447
8429507,1,4,296.13518265447
8429507,1,5,296.13518265447
8429508,1,1,432.971330264605
8429508,1,2,432.971330264605
8429508,1,3,432.971330264605
8429508,1,4,432.971330264605
8434251,1,1,537.577237852459
8434251,1,2,537.577237852459
8434251,1,3,537.577237852459
8434251,1,4,537.577237852459
8434251,1,5,537.577237852459
8434251,1,6,537.577237852459
8434252,1,1,439.166186055467
8434252,1,2,439.166186055467
8434252,1,3,439.166186055467
8434253,1,1,382.90268366046
8434253,1,2,382.90268366046
8434253,1,3,382.90268366046
8434254,1,1,533.039201743273
8434255,1,1,601.302050079619
8434255,1,2,601.302050079619
8434255,1,3,601.302050079619
8434255,1,4,601.302050079619
8434256,1,1,317.042764432027
8434256,1,2,317.042764432027
8434257,1,1,541.942860578375
8434257,1,2,541.942860578375
8434257,1,3,541.942860578375
8443067,1,1,457.733073252716
8443068,1,1,501.703721364728
