DIRECTORIO,SECUENCIA_P,ORDEN,es_desplazado,es_victima,fex_c_victi
8369785,1,4,1,1,8.7447107131
8369786,1,1,1,1,6.2496105545
8369788,1,1,1,1,6.2879356604
8369788,1,2,1,1,6.2879356604
8369788,1,3,1,1,6.2879356604
8369788,1,4,1,1,6.2879356604
8369790,1,1,1,1,10.011643295
8369790,1,2,1,1,10.011643295
8369790,1,3,1,1,10.011643295
8369790,1,4,1,1,10.011643295
8369791,1,1,1,1,13.6482466
8369791,1,2,1,1,13.6482466
8369791,1,4,1,1,13.6482466
8369797,1,4,1,1,15.573667348
8369799,1,1,1,1,8.2637521429
8369799,1,2,1,1,8.2637521429
8369799,1,3,1,1,8.2637521429
8369805,1,1,1,1,272.13755891
8369805,1,2,0,1,268.54168088
8369815,1,1,1,1,23.893987971
8369815,1,2,1,1,23.893987971
8369820,1,1,1,1,7.8623633605
8369822,1,1,1,1,11.805041233
8369822,1,2,1,1,11.805041233
8369822,1,3,1,1,11.805041233
8369825,1,1,1,1,11.805041233
8369829,1,1,1,1,11.805041233
8369829,1,2,1,1,11.805041233
8369829,1,3,1,1,11.805041233
8369847,1,1,1,1,40.435245379
8369853,1,1,1,1,39.684381178
8369854,1,1,1,1,597.22933493
8369865,1,1,1,1,318.11586859
8369865,1,2,1,1,318.11586859
8369869,1,1,1,1,593.97750614
8369910,1,1,1,1,668.36605301
8369912,1,1,1,1,22.888720891
8369912,1,2,1,1,22.888720891
8369912,1,3,1,1,22.888720891
8369913,1,1,1,1,29.67672665
8369914,1,2,1,1,27.444380408
8369914,1,3,1,1,27.444380408
8369915,1,2,1,1,24.34263361
8369915,1,3,1,1,24.34263361
8369917,1,1,0,1,24.476889157
8369917,1,2,1,1,24.804644267
8369918,1,2,1,1,26.893624814
8369919,1,1,0,1,23.317497853
8369919,1,2,1,1,23.62972826
8369920,1,1,1,1,12.052807939
8369920,1,2,1,1,12.052807939
8369920,1,4,1,1,12.052807939
8369921,1,1,1,1,20.971456617
8369921,1,3,1,1,20.971456617
8369926,1,1,1,1,27.000905252
8369926,1,2,1,1,27.000905252
8369938,1,2,1,1,281.6594144
8369938,1,3,1,1,281.6594144
8369938,1,4,1,1,281.6594144
