DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,P6020,P6040,P6051,FEX_C,P6090,P5665,P8563,P51,P55,P774,P6160,P8587,P8587S1,P1088,P1088S1,P6180,P6250,P6260,P6270,P6351,P7250,P6920,P8586,P3336S1,P3336S2,P3336S3,P3337,P6240,P1082S2
8400681,1,1,1,2,77,1,396.653590958605,1,2,NA,NA,NA,NA,1,4,8,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400681,2,1,2,1,50,3,396.653590958605,1,2,NA,NA,NA,NA,1,9,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400682,1,1,1,2,35,1,438.281546213533,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400682,2,1,2,1,15,3,438.281546213533,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,2,1,1,2,2,1,3,1
8400682,3,1,3,1,5,3,438.281546213533,1,2,NA,NA,NA,NA,2,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400683,1,1,1,1,40,1,336.633829628918,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400683,2,1,2,2,43,2,336.633829628918,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400683,3,1,3,2,15,3,336.633829628918,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,2,1,1,2,2,1,3,
8400684,1,1,1,1,46,1,486.669563283207,1,1,7,NA,NA,NA,1,3,5,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,1
8400684,2,1,2,2,70,5,486.669563283207,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400684,3,1,3,2,46,7,486.669563283207,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400684,4,1,4,1,26,9,486.669563283207,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400685,1,1,1,1,44,1,433.166513703735,2,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400686,1,1,1,2,79,1,265.030076167013,1,2,NA,NA,NA,NA,1,11,5,NA,NA,NA,2,2,2,NA,NA,3,2,,,,,4,1
8400687,1,1,1,2,56,1,113.739620520441,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,1
8400687,2,1,2,2,32,3,113.739620520441,1,2,NA,NA,NA,NA,1,4,9,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400687,3,1,3,2,13,4,113.739620520441,1,2,NA,NA,NA,NA,1,NA,NA,3,8,2,2,2,2,NA,NA,NA,1,1,2,2,1,3,
8400687,4,1,4,2,12,4,113.739620520441,1,2,NA,NA,NA,NA,1,NA,NA,2,5,1,2,2,2,NA,NA,NA,1,1,2,2,1,3,
8400688,1,1,1,2,33,1,242.765791578501,1,2,NA,NA,NA,NA,1,7,2,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,1
8400688,2,1,2,2,10,3,242.765791578501,1,2,NA,NA,NA,NA,1,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,1
8400688,3,1,3,2,1,3,242.765791578501,1,2,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8400689,1,1,1,2,46,1,173.744487348116,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400689,2,1,2,2,26,3,173.744487348116,1,2,NA,NA,NA,NA,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400689,3,1,3,2,3,4,173.744487348116,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8400690,1,1,1,2,35,1,235.360816427153,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400690,2,1,2,2,15,3,235.360816427153,1,2,NA,NA,NA,NA,1,NA,NA,4,10,2,2,2,2,NA,NA,2,1,1,2,2,1,3,1
8400690,3,1,3,1,15,3,235.360816427153,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,2,1,1,2,2,1,3,1
8400690,4,1,4,2,10,3,235.360816427153,1,2,NA,NA,NA,NA,1,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,1
8400691,1,1,1,1,56,1,258.179093204103,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400691,2,1,2,2,60,2,258.179093204103,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,1
8400691,3,1,3,1,41,3,258.179093204103,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400692,1,1,1,2,36,1,157.665926011257,1,2,NA,NA,NA,NA,1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400692,2,1,2,2,17,3,157.665926011257,1,2,NA,NA,NA,NA,1,NA,NA,7,1,2,2,2,2,NA,NA,2,1,1,2,2,,3,1
8400692,3,1,3,1,10,3,157.665926011257,1,2,NA,NA,NA,NA,1,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400693,1,1,1,2,26,1,121.487593977675,1,1,6,NA,NA,NA,1,NA,NA,7,1,2,NA,NA,NA,NA,NA,2,1,1,2,2,,1,1
8400693,2,1,2,2,19,7,121.487593977675,1,2,NA,NA,NA,NA,1,NA,NA,7,1,2,2,2,2,NA,NA,2,1,1,2,2,,3,1
8400694,1,1,1,2,75,1,147.631741263707,1,2,NA,NA,NA,NA,2,3,1,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8400694,2,1,2,1,80,2,147.631741263707,1,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8400694,3,1,3,2,12,4,147.631741263707,1,2,NA,NA,NA,NA,1,NA,NA,3,6,2,2,2,2,NA,NA,NA,1,1,2,2,1,3,1
8400695,1,1,1,2,32,1,165.852576746139,1,2,NA,NA,NA,NA,1,13,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400695,2,1,2,2,13,3,165.852576746139,1,2,NA,NA,NA,NA,1,NA,NA,3,8,2,2,2,2,NA,NA,NA,1,1,2,2,1,3,1
8400695,3,1,3,2,4,3,165.852576746139,1,2,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8400696,1,1,1,2,38,1,243.851696622638,1,1,7,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400696,2,1,2,1,36,2,243.851696622638,1,2,NA,NA,NA,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400696,3,1,3,2,18,3,243.851696622638,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,1,8,2,2,,,,,4,1
8400696,4,1,4,2,8,3,243.851696622638,1,1,1,NA,NA,NA,1,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400697,1,1,1,2,51,1,133.886364313014,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400697,2,1,2,2,86,14,133.886364313014,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,
8400697,3,1,3,2,79,14,133.886364313014,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,
8400697,4,1,4,1,65,14,133.886364313014,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8400698,1,1,1,1,46,1,268.213277951653,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400698,2,1,2,2,48,2,268.213277951653,1,2,NA,NA,NA,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400698,3,1,3,1,9,3,268.213277951653,1,2,NA,NA,NA,NA,1,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,1
8400699,1,1,1,1,39,1,58.8706939283285,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400699,2,1,2,2,38,2,58.8706939283285,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400699,3,1,3,1,14,3,58.8706939283285,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,NA,1,1,2,2,1,3,
8400699,4,1,4,2,64,5,58.8706939283285,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400700,1,1,1,1,67,1,86.6708993899427,1,1,1,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8400701,1,1,1,2,55,1,56.8334348230907,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400701,2,1,2,1,57,2,56.8334348230907,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8400702,1,1,1,1,46,1,63.4161236039973,1,2,NA,NA,NA,NA,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8400702,2,1,2,1,92,5,63.4161236039973,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,
8400702,3,1,3,2,92,5,63.4161236039973,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,
8400703,1,1,1,1,53,1,74.8183317435517,1,1,7,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8400703,2,1,2,2,42,2,74.8183317435517,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400703,3,1,3,1,18,3,74.8183317435517,1,2,NA,NA,NA,NA,1,NA,NA,4,11,2,2,2,2,NA,NA,2,1,1,2,2,1,3,1
8400703,4,1,4,2,14,3,74.8183317435517,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,NA,1,1,2,2,1,3,
8400703,5,1,5,2,87,6,74.8183317435517,1,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8400704,1,1,1,1,66,1,56.8334348230907,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8400704,2,1,2,2,64,2,56.8334348230907,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8400705,1,1,1,2,77,1,46.4868960764326,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8400705,2,1,2,1,60,3,46.4868960764326,1,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8400705,3,1,3,1,49,3,46.4868960764326,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8400705,4,1,4,2,48,3,46.4868960764326,1,1,6,NA,NA,NA,1,3,5,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,
8400705,5,1,5,2,45,3,46.4868960764326,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400706,1,1,1,1,64,1,63.4161236039973,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8400706,2,1,2,2,60,2,63.4161236039973,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8400706,3,1,3,1,40,3,63.4161236039973,1,2,NA,NA,NA,NA,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8400707,1,1,1,1,41,1,99.7522025726776,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8400708,1,1,1,1,30,1,106.334891353584,1,2,NA,NA,NA,NA,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400708,2,1,2,1,38,7,106.334891353584,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400709,1,1,1,2,55,1,252.809315671225,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400709,2,1,2,1,61,2,252.809315671225,1,1,3,NA,NA,NA,1,3,1,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,
8400709,3,1,3,1,21,3,252.809315671225,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,2,2,2,1,6,2,2,,,,,2,1
8400710,1,1,1,1,36,1,225.909217954099,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400710,2,1,2,2,34,2,225.909217954099,1,2,NA,NA,NA,NA,1,4,9,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400710,3,1,3,2,15,3,225.909217954099,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,2,1,1,2,2,1,3,1
8400710,4,1,4,2,13,3,225.909217954099,1,2,NA,NA,NA,NA,1,NA,NA,2,5,1,2,2,2,NA,NA,NA,1,1,2,2,1,3,
8400710,5,1,5,2,12,3,225.909217954099,1,2,NA,NA,NA,NA,1,NA,NA,2,4,1,2,2,2,NA,NA,NA,1,1,2,2,1,3,
8400710,6,1,6,2,10,3,225.909217954099,1,2,NA,NA,NA,NA,1,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400710,7,1,7,2,7,3,225.909217954099,1,2,NA,NA,NA,NA,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400711,1,1,1,1,52,1,341.943036603075,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400711,2,1,2,2,32,2,341.943036603075,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,1
8400711,3,1,3,1,14,3,341.943036603075,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,2,NA,NA,NA,2,,,,,6,
8400711,4,1,4,1,5,3,341.943036603075,1,2,NA,NA,NA,NA,2,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400712,1,1,1,2,66,1,159.018045700208,1,1,7,NA,NA,NA,1,4,7,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,1
8400713,1,1,1,1,75,1,149.477138029503,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400713,2,1,2,2,68,2,149.477138029503,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400713,3,1,3,2,23,4,149.477138029503,1,2,NA,NA,NA,NA,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400714,1,1,1,1,67,1,204.339976641277,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8400715,1,1,1,1,83,1,124.512612549309,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400715,2,1,2,2,73,2,124.512612549309,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,1
8400715,3,1,3,2,37,3,124.512612549309,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400715,4,1,4,2,13,4,124.512612549309,1,2,NA,NA,NA,NA,1,NA,NA,3,7,2,2,2,2,NA,NA,NA,1,1,2,2,2,3,1
8400716,1,1,1,1,51,1,259.899908222241,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400717,1,1,1,2,41,1,138.564153577614,1,2,NA,NA,NA,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,5,1
8400717,2,1,2,1,19,3,138.564153577614,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,1
8400717,3,1,3,1,14,3,138.564153577614,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,NA,1,1,2,2,1,3,1
8400718,1,1,1,2,93,1,60.5433168784917,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,
8400718,2,1,2,1,62,3,60.5433168784917,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8400718,3,1,3,1,61,3,60.5433168784917,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,1,6,2,2,,,,,4,
8400719,1,1,1,1,31,1,109.028904760552,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400719,2,1,2,2,32,2,109.028904760552,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400719,3,1,3,2,3,3,109.028904760552,1,2,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8400720,1,1,1,1,78,1,108.142595099739,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,
8400720,2,1,2,2,59,2,108.142595099739,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400720,3,1,3,1,23,3,108.142595099739,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400721,1,1,1,2,36,1,146.481889439975,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400721,2,1,2,1,17,3,146.481889439975,1,2,NA,NA,NA,NA,1,4,8,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400721,3,1,3,1,11,3,146.481889439975,1,2,NA,NA,NA,NA,1,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400721,4,1,4,1,27,7,146.481889439975,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400722,1,1,1,2,72,1,76.1765372896576,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,2,2,,,,,4,1
8400723,1,1,1,2,77,1,76.1765372896576,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,1
8400724,1,1,1,2,57,1,76.1765372896576,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400725,1,1,1,1,45,1,66.9165534086461,1,2,NA,NA,NA,NA,1,9,4,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,2,1
8400725,2,1,2,2,50,2,66.9165534086461,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,1,4,2,2,,,,,4,1
8400726,1,1,1,1,26,1,107.958113692355,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400726,2,1,2,2,25,2,107.958113692355,1,2,NA,NA,NA,NA,1,10,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400726,3,1,3,1,9,3,107.958113692355,1,2,NA,NA,NA,NA,1,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400727,1,1,1,1,42,1,148.811572776217,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400727,2,1,2,2,37,2,148.811572776217,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400727,3,1,3,1,14,3,148.811572776217,1,2,NA,NA,NA,NA,1,NA,NA,3,8,2,2,2,2,1,2,NA,1,2,2,1,2,3,1
8400727,4,1,4,2,9,3,148.811572776217,1,2,NA,NA,NA,NA,1,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400728,1,1,1,2,75,1,61.5064868003481,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8400728,2,1,2,2,53,3,61.5064868003481,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400730,1,1,1,1,68,1,108.29199036145,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8400730,2,1,2,2,65,2,108.29199036145,1,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400730,3,1,3,2,45,3,108.29199036145,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400730,4,1,4,2,7,4,108.29199036145,1,2,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8400730,5,1,5,1,4,4,108.29199036145,1,2,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8400731,1,1,1,1,95,1,106.07538907884,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,
8400731,2,1,2,1,67,3,106.07538907884,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8400732,1,1,1,1,74,1,75.1959197924821,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8400732,2,1,2,2,69,2,75.1959197924821,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8400733,1,1,1,1,48,1,244.886712882163,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400733,2,1,2,1,16,3,244.886712882163,1,1,1,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,1
8400733,3,1,3,2,13,3,244.886712882163,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,NA,1,1,2,2,1,3,1
8400733,4,1,4,1,11,3,244.886712882163,1,2,NA,NA,NA,NA,1,NA,NA,3,6,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400733,5,1,5,2,70,5,244.886712882163,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400733,6,1,6,1,17,9,244.886712882163,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400734,1,1,1,2,80,1,61.5064868003481,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,
8400734,2,1,2,1,61,3,61.5064868003481,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400734,3,1,3,2,55,3,61.5064868003481,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8400735,1,1,1,1,68,1,61.5064868003481,1,2,NA,NA,NA,NA,1,9,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,,,,,1,1
8400735,2,1,2,2,53,2,61.5064868003481,1,2,NA,NA,NA,NA,1,9,3,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400736,1,1,1,1,71,1,75.1959197924821,1,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8400736,2,1,2,2,59,2,75.1959197924821,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,1
8400737,1,1,1,1,61,1,114.673660304982,1,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8400738,1,1,1,2,36,1,197.566285247455,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400738,2,1,2,1,15,3,197.566285247455,1,2,NA,NA,NA,NA,1,NA,NA,4,10,2,2,2,2,2,NA,2,1,1,2,2,1,3,2
8400738,3,1,3,1,10,3,197.566285247455,1,2,NA,NA,NA,NA,1,NA,NA,3,6,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400738,4,1,4,1,9,3,197.566285247455,1,1,1,NA,NA,NA,1,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8400739,1,1,1,1,58,1,114.673660304982,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8400740,1,1,1,2,70,1,140.057062572964,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,2
8400740,2,1,2,1,78,2,140.057062572964,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,
8400740,3,1,3,2,18,4,140.057062572964,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8400740,4,1,4,1,16,4,140.057062572964,1,2,NA,NA,NA,NA,1,NA,NA,4,10,2,2,2,2,NA,NA,2,1,1,2,2,1,3,1
8400741,1,1,1,1,56,1,77.4006360380235,1,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400741,2,1,2,2,51,2,77.4006360380235,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8400741,3,1,3,2,18,3,77.4006360380235,1,2,NA,NA,NA,NA,1,NA,NA,7,1,2,2,2,2,2,NA,2,1,1,2,2,,3,1
8400742,1,1,1,1,59,1,101.446144386852,1,2,NA,NA,NA,NA,1,9,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8400742,2,1,2,2,31,2,101.446144386852,2,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
