DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,P6020,P6040,P6051,FEX_C,P6090,P5665,P8563,P51,P55,P774,P6160,P8587,P8587S1,P1088,P1088S1,P6180,P6250,P6260,P6270,P6351,P7250,P6920,P8586,P3336S1,P3336S2,P3336S3,P3337,P6240,P1082S2
8369710,2,1,2,2,45,2,112.988737220472,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369710,3,1,3,2,18,3,112.988737220472,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369711,1,1,1,2,21,1,165.925934286879,1,2,NA,NA,NA,NA,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369711,2,1,2,2,19,7,165.925934286879,1,2,NA,NA,NA,NA,1,NA,NA,4,11,2,2,2,2,NA,NA,2,1,1,2,2,2,3,1
8369711,3,1,3,2,17,7,165.925934286879,1,2,NA,NA,NA,NA,1,NA,NA,4,11,2,2,2,2,NA,NA,2,1,1,2,2,1,3,1
8369711,4,1,4,2,11,7,165.925934286879,1,2,NA,NA,NA,NA,1,NA,NA,3,6,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,1
8369712,1,1,1,1,45,1,130.479338054266,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369712,2,1,2,2,45,2,130.479338054266,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8369712,3,1,3,1,24,3,130.479338054266,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,1,15,2,2,,,,,2,1
8369712,4,1,4,2,21,3,130.479338054266,1,1,1,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,1,10,2,2,,,,,2,1
8369712,5,1,5,1,7,3,130.479338054266,1,2,NA,NA,NA,NA,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369713,1,1,1,2,52,1,61.595155381394,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,
8369713,2,1,2,2,17,3,61.595155381394,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369713,3,1,3,2,14,3,61.595155381394,1,2,NA,NA,NA,NA,1,NA,NA,3,8,1,2,2,2,NA,NA,NA,1,1,2,2,2,3,
8369714,1,1,1,1,67,1,241.169997394093,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8369714,2,1,2,2,26,3,241.169997394093,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369714,3,1,3,1,31,8,241.169997394093,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,2
8369714,4,1,4,1,12,4,241.169997394093,1,2,NA,NA,NA,NA,1,NA,NA,2,5,2,2,2,2,NA,NA,NA,1,1,2,2,2,3,
8369714,5,1,5,1,8,4,241.169997394093,1,2,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369715,1,1,1,1,31,1,113.877444446588,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369715,2,1,2,2,25,2,113.877444446588,1,2,NA,NA,NA,NA,1,NA,NA,4,11,2,2,2,2,NA,NA,2,1,1,2,2,2,3,1
8369715,3,1,3,1,7,3,113.877444446588,1,2,NA,NA,NA,NA,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369716,1,1,1,2,75,1,68.5145603944167,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8369717,1,1,1,1,53,1,205.999511726683,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369717,2,1,2,2,45,2,205.999511726683,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369717,3,1,3,2,7,4,205.999511726683,1,2,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369718,1,1,1,2,64,1,68.5145603944167,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369719,1,1,1,1,38,1,132.777115478319,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369719,2,1,2,2,48,2,132.777115478319,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,1,20,2,2,,,,,2,1
8369719,3,1,3,1,15,3,132.777115478319,1,2,NA,NA,NA,NA,1,NA,NA,4,10,1,2,2,2,NA,NA,2,1,1,2,2,2,3,1
8369720,1,1,1,2,37,1,138.628126224676,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369720,2,1,2,1,17,3,138.628126224676,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,1,10,2,2,,,,,2,1
8369720,3,1,3,1,12,3,138.628126224676,1,2,NA,NA,NA,NA,1,NA,NA,3,7,1,2,2,2,NA,NA,NA,1,1,2,2,2,3,
8369720,4,1,4,2,7,3,138.628126224676,1,2,NA,NA,NA,NA,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369721,1,1,1,2,52,1,154.598213956824,1,1,1,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,1,8,2,2,,,,,4,2
8369721,2,1,2,1,22,3,154.598213956824,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369721,3,1,3,2,19,3,154.598213956824,1,2,NA,NA,NA,NA,1,NA,NA,7,2,2,2,2,2,NA,NA,2,1,1,2,2,,3,1
8369722,1,1,1,1,29,1,118.860606715046,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369722,2,1,2,2,25,2,118.860606715046,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369722,3,1,3,1,8,3,118.860606715046,1,2,NA,NA,NA,NA,1,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369722,4,1,4,1,4,3,118.860606715046,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8369724,1,1,1,1,73,1,142.08983647556,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,1
8369725,1,1,1,2,34,1,181.490470296883,1,2,NA,NA,NA,NA,1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369725,2,1,2,1,32,2,181.490470296883,1,2,NA,NA,NA,NA,1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369726,1,1,1,2,75,1,172.254431068099,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8369726,2,1,2,2,33,4,172.254431068099,1,2,NA,NA,NA,NA,1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369726,3,1,3,2,11,4,172.254431068099,1,2,NA,NA,NA,NA,1,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369727,1,1,1,2,22,1,220.449690078774,1,2,NA,NA,NA,NA,1,5,10,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,2,1
8369727,2,1,2,2,4,3,220.449690078774,1,2,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8369727,3,1,3,2,2,3,220.449690078774,1,2,NA,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8369728,1,1,1,1,43,1,324.311425925051,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369728,2,1,2,2,53,2,324.311425925051,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369728,3,1,3,1,24,3,324.311425925051,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369730,1,1,1,1,51,1,2587.300939859,1,2,NA,NA,NA,NA,1,13,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369730,2,1,2,1,26,3,2587.300939859,1,2,NA,NA,NA,NA,1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,2
8369730,3,1,3,2,21,3,2587.300939859,1,2,NA,NA,NA,NA,1,NA,NA,7,2,2,2,2,2,NA,NA,2,1,1,2,2,,3,2
8369730,4,1,4,2,53,7,2587.300939859,1,2,NA,NA,NA,NA,1,13,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,2
8369735,1,1,1,1,42,1,2527.11702245276,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369735,2,1,2,2,41,2,2527.11702245276,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8369735,3,1,3,1,14,3,2527.11702245276,1,2,NA,NA,NA,NA,1,NA,NA,3,9,2,2,2,2,NA,NA,NA,1,1,2,2,1,3,
8369735,4,1,4,1,12,3,2527.11702245276,1,2,NA,NA,NA,NA,1,NA,NA,3,7,1,2,2,2,NA,NA,NA,1,1,2,2,2,3,
8369735,5,1,5,1,6,3,2527.11702245276,1,2,NA,NA,NA,NA,1,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369735,6,1,6,2,1,3,2527.11702245276,1,2,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8369738,1,1,1,1,89,1,1683.93771124772,1,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369738,2,1,2,2,86,2,1683.93771124772,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,
8369739,1,1,1,1,54,1,3003.82129456934,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369739,2,1,2,2,34,2,3003.82129456934,1,2,NA,NA,NA,NA,1,9,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369739,3,1,3,1,14,3,3003.82129456934,1,2,NA,NA,NA,NA,1,NA,NA,3,8,1,2,2,2,NA,NA,NA,1,1,2,2,2,3,1
8369739,4,1,4,1,7,3,3003.82129456934,1,2,NA,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369740,1,1,1,1,35,1,2238.14135673794,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369740,2,1,2,2,35,2,2238.14135673794,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369740,3,1,3,1,12,3,2238.14135673794,1,2,NA,NA,NA,NA,1,NA,NA,2,5,1,2,2,2,NA,NA,NA,1,1,2,2,1,3,1
8369740,4,1,4,1,4,3,2238.14135673794,1,2,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8369741,1,1,1,2,23,1,1717.42323745709,1,2,NA,NA,NA,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369741,2,1,2,1,23,2,1717.42323745709,1,2,NA,NA,NA,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369741,3,1,3,2,43,5,1717.42323745709,1,2,NA,NA,NA,NA,1,4,9,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369741,4,1,4,1,14,7,1717.42323745709,1,2,NA,NA,NA,NA,1,NA,NA,3,6,1,2,2,2,NA,NA,NA,1,1,2,2,2,6,1
8369741,5,1,5,1,11,7,1717.42323745709,1,2,NA,NA,NA,NA,1,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,1
8369741,6,1,6,2,23,9,1717.42323745709,1,2,NA,NA,NA,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369741,7,1,7,2,23,9,1717.42323745709,1,2,NA,NA,NA,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369742,1,1,1,1,56,1,1683.93771124772,1,2,NA,NA,NA,NA,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369742,2,1,2,2,60,2,1683.93771124772,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369745,1,1,1,2,69,1,1287.07874222249,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,3,2,,,,,4,2
8369745,2,1,2,2,42,3,1287.07874222249,1,2,NA,NA,NA,NA,1,9,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369751,1,1,1,2,59,1,1488.02824088371,1,2,NA,NA,NA,NA,1,11,5,NA,NA,NA,2,2,2,NA,NA,3,2,,,,,4,1
8369752,1,1,1,1,54,1,2071.14738635452,1,2,NA,NA,NA,NA,1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369753,1,1,1,1,37,1,969.72457717977,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369753,2,1,2,2,33,2,969.72457717977,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369753,3,1,3,2,15,3,969.72457717977,1,2,NA,NA,NA,NA,1,NA,NA,3,9,1,2,2,2,NA,NA,2,1,1,2,2,2,4,1
8369753,4,1,4,1,10,3,969.72457717977,1,2,NA,NA,NA,NA,1,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,,
8369753,5,1,5,2,1,3,969.72457717977,1,2,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8369754,1,1,1,2,57,1,691.081305721904,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,1,NA,NA,NA,NA,2,2,,,,,4,1
8369754,2,1,2,1,38,3,691.081305721904,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369754,3,1,3,1,3,4,691.081305721904,1,2,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8369756,1,1,1,2,65,1,294.361316645523,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,2
8369756,2,1,2,1,69,2,294.361316645523,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,,,,,1,2
8369756,3,1,3,1,70,7,294.361316645523,2,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,2,2,2,1,4,2,2,,,,,2,
8369758,1,1,1,1,50,1,679.414631618559,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,2,2,2,1,2,2,2,,,,,2,1
8369758,2,1,2,2,49,2,679.414631618559,1,2,NA,NA,NA,NA,1,3,3,NA,NA,NA,2,2,2,2,NA,2,2,,,,,4,1
8369758,3,1,3,1,28,3,679.414631618559,1,2,NA,NA,NA,NA,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369759,1,1,1,2,72,1,561.550967944234,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,2,2,,,,,4,1
8369759,2,1,2,2,41,3,561.550967944234,1,2,NA,NA,NA,NA,1,NA,NA,4,11,2,2,2,2,NA,NA,2,1,1,2,2,1,4,1
8369759,3,1,3,2,8,4,561.550967944234,1,2,NA,NA,NA,NA,1,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8369759,4,1,4,2,4,4,561.550967944234,1,2,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8369760,1,1,1,2,21,1,966.607352112685,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369760,2,1,2,1,23,2,966.607352112685,1,2,NA,NA,NA,NA,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369760,3,1,3,2,5,3,966.607352112685,1,2,NA,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8369760,4,1,4,2,47,5,966.607352112685,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369761,1,1,1,1,25,1,839.914449737467,1,2,NA,NA,NA,NA,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369762,1,1,1,1,67,1,866.30484262269,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369762,2,1,2,1,18,3,866.30484262269,1,2,NA,NA,NA,NA,1,NA,NA,4,11,2,2,2,2,NA,NA,2,1,1,2,2,1,3,
8369762,3,1,3,1,13,3,866.30484262269,1,2,NA,NA,NA,NA,1,NA,NA,3,8,1,2,2,2,NA,NA,NA,1,1,2,2,1,3,
8369763,1,1,1,1,59,1,356.45212053603,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369763,2,1,2,2,48,2,356.45212053603,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
