DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
8369763,2,1,1,1,4,1,1
8369764,4,1,1,1,4,1,1
8369765,2,1,1,1,4,1,1
8369767,2,1,1,1,4,1,1
8369768,3,1,1,1,4,1,1
8369770,2,1,1,1,4,1,1
8369771,3,1,1,1,4,1,1
8369773,4,1,1,1,4,1,1
8369774,1,1,1,1,2,1,1
8369775,1,1,1,1,6,1,1
8369776,2,1,1,1,6,1,1
8369777,5,1,1,1,6,1,1
8369779,6,1,1,1,6,1,1
8369781,2,1,1,5,6,2,2
8369782,5,1,1,1,6,2,2
8369783,3,1,1,1,6,2,2
8369784,3,1,1,4,7,2,2
8369785,6,1,1,1,6,2,2
8369786,1,1,1,1,6,2,2
8369788,4,1,1,5,6,2,2
8369790,5,1,1,1,6,2,2
8369791,5,1,1,9,7,2,2
8369794,6,1,1,9,7,2,2
8369796,4,1,1,5,6,2,2
8369797,5,1,1,9,7,2,2
8369798,6,1,1,5,6,2,2
8369799,3,1,1,1,6,2,2
8369800,3,1,1,5,6,2,2
8369801,2,1,1,1,4,1,1
8369802,4,1,1,5,6,2,2
8369804,2,1,1,1,4,1,1
8369805,3,1,1,1,4,1,1
8369806,1,1,1,1,4,1,1
8369807,1,1,1,1,4,1,1
8369808,1,1,1,1,4,1,1
8369809,1,1,1,1,6,1,1
8369810,2,1,1,1,4,1,1
8369811,1,1,1,1,4,1,1
8369812,3,1,1,1,4,1,1
8369814,1,1,1,1,6,1,1
8369815,3,1,1,1,4,1,1
8369817,4,1,1,1,6,2,1
8369833,1,1,1,1,4,1,1
8369834,2,1,1,1,4,1,1
8369835,3,1,1,1,4,1,1
8369836,2,1,1,1,4,1,1
8369837,2,1,1,1,4,1,1
8369838,3,1,1,1,4,1,1
8369839,2,1,1,2,6,1,1
8369840,3,1,1,1,4,1,1
8369841,1,1,1,2,4,1,1
8369842,3,1,1,1,4,1,1
8369843,1,1,1,1,6,1,1
8369844,2,1,1,1,4,1,1
8369845,3,1,1,1,4,1,1
8369847,1,1,1,1,4,1,1
8369848,2,1,1,1,6,1,1
8369849,1,1,1,1,4,1,1
8369850,4,1,1,1,6,1,1
8369851,2,1,1,1,4,1,1
8369852,2,1,1,9,7,1,1
8369853,1,1,1,1,6,1,1
8369854,3,1,1,1,4,1,1
8369855,5,1,1,1,4,1,1
8369856,1,1,1,1,4,1,1
8369857,2,1,1,1,6,1,1
8369858,1,1,1,1,4,1,1
8369859,3,1,1,1,4,1,1
8369860,1,1,1,1,4,1,1
8369862,1,1,1,1,6,1,1
8369863,4,1,1,1,4,1,1
8369864,1,1,1,1,4,1,1
8369865,2,1,1,1,4,1,1
8369866,4,1,1,1,4,1,1
8369867,3,1,1,1,4,1,1
8369868,4,1,1,5,6,1,1
8369869,3,1,1,5,6,1,1
8369870,4,1,1,1,4,1,1
8369871,7,1,1,1,4,1,1
8369872,1,1,1,5,6,1,1
8369873,3,1,1,1,6,1,1
8369874,4,1,1,1,4,1,1
8369875,4,1,1,1,6,1,1
8369876,2,1,1,1,4,1,1
8369877,4,1,1,1,3,1,1
8369878,3,1,1,1,4,1,1
8369879,2,1,1,1,4,1,1
8369880,3,1,1,1,4,1,1
8369881,4,1,1,1,4,1,1
8369883,6,1,1,1,4,1,1
8369884,4,1,1,1,4,1,1
8369885,1,1,1,1,6,1,1
8369886,3,1,1,1,4,1,1
8369887,5,1,1,1,4,1,1
8369888,3,1,1,1,4,1,1
8369889,2,1,1,1,6,1,1
8369890,3,1,1,1,4,1,1
8369891,1,1,1,1,4,1,1
8369892,3,1,1,1,4,1,1
8369893,2,1,1,1,4,1,1
8369894,2,1,1,1,4,1,1
8369895,3,1,1,1,4,1,1
8369896,5,1,1,1,4,1,1
8369897,2,1,1,1,4,1,1
8369898,3,1,1,1,4,1,1
8369899,3,1,1,1,4,1,1
8369900,2,1,1,1,4,1,1
8369901,3,1,1,1,4,1,1
8369902,1,1,1,1,4,1,1
8369903,4,1,1,1,6,1,1
8369904,3,1,1,1,4,1,1
8369905,4,1,1,5,6,1,1
8369908,3,1,1,1,4,1,1
8369909,3,1,1,5,4,1,1
8369910,3,1,1,1,6,1,1
8369911,3,1,1,1,4,1,1
8369912,7,1,1,5,6,1,1
8369913,1,1,1,1,6,1,1
8369914,3,1,1,1,4,1,1
8369915,3,1,1,1,4,1,1
8369916,1,1,1,1,4,1,1
8369917,2,1,1,1,4,1,1
8369918,3,1,1,1,6,1,1
8369919,2,1,1,1,4,1,1
8369920,4,1,1,1,6,1,1
8369921,3,1,1,1,4,1,1
8369922,2,1,1,1,4,1,1
8369923,1,1,1,1,4,1,1
8369924,1,1,1,5,5,1,1
8369925,1,1,1,1,4,1,1
8369926,2,1,1,1,4,1,1
8369927,3,1,1,1,4,1,1
8369928,1,1,1,1,6,2,1
8369929,2,1,1,1,6,2,1
8369930,5,1,1,1,4,2,1
8369931,1,1,1,1,6,2,1
8369932,1,1,1,1,4,2,1
8369933,3,1,1,1,4,1,1
8369934,2,1,1,1,4,1,1
8369935,2,1,1,1,4,1,1
8369936,2,1,1,1,4,1,1
8369938,5,1,1,1,4,1,1
