DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P5010	P8526	P8530	FEX_C	ALFABETISMO	LOGRO_EDUCATIVO	INASISTENCIA_ESCOLAR	REZAGO_ESCOLAR	ATENCION_INTEGRAL	TRABAJO_INFANTIL	DESEMPLEO_LARGA_DURACION	EMPLEO_FORMAL	ASEGURAMIENTO_SALUD	BARRERAS_ACCESO_SALUD	PERIODO	REGION	PERSONAS	ACUEDUCTO	ALCANTARILLADO	PISOS	PAREDES	P5010_imp	HACINAMIENTO	IPM	POBRE	FEXP
2974753	1	1	1	1	1	377.707633305773	0	1	0	1	0	0	0	1	0	0	20140939	9	4	0	0	0	0	1	1	0.29	0	1510.83053322309
2974754	1	1	1	1	1	2266.77423404526	0	1	0	1	0	0	0	1	0	0	20140939	2	3	0	0	0	0	1	1	0.29	0	6800.32270213579
2974755	1	1	2	1	1	383.852989597625	0	0	0	0	0	0	0	1	0	0	20140939	9	3	0	0	0	0	2	0	0.1	0	1151.55896879287
2974756	1	1	2	1	1	564.898926966872	0	0	0	1	0	0	1	1	0	0	20140939	9	2	0	0	0	0	2	0	0.25	0	1129.79785393374
2974757	1	1	2	1	1	708.460706435903	0	0	0	0	0	0	0	0	0	0	20140939	2	3	0	0	0	0	2	0	0	0	2125.38211930771
2974758	1	1	2	1	1	641.144287513096	0	1	0	0	1	0	0	1	0	0	20140939	9	4	0	0	0	0	2	0	0.25	0	2564.57715005238
2974759	1	1	2	1	1	502.57664231637	0	1	0	1	0	0	0	0	0	0	20140939	9	5	0	0	0	0	2	0	0.15	0	2512.88321158185
2974760	1	1	2	1	1	699.446783176408	0	1	0	0	0	0	0	1	0	0	20140939	3	3	0	0	0	0	2	0	0.2	0	2098.34034952922
2974761	1	1	3	1	1	1735.98137486226	0	0	0	0	0	0	0	1	1	0	20140939	2	4	0	0	0	0	3	0	0.2	0	6943.92549944905
2974762	1	1	1	1	1	1953.09001034414	0	1	0	0	0	0	0	1	0	0	20140939	2	1	0	0	0	0	1	0	0.2	0	1953.09001034414
2974763	1	1	3	1	1	2094.35710756711	0	1	0	1	0	0	0	1	0	0	20140939	2	4	0	0	0	0	3	0	0.25	0	8377.42843026844
2974764	1	1	2	1	1	1745.57540880424	0	0	0	0	0	0	0	1	0	0	20140939	2	2	0	0	0	0	2	0	0.1	0	3491.15081760849
2974765	1	1	1	1	1	1948.79267220195	0	1	0	1	0	0	0	1	0	0	20140939	2	3	0	0	0	0	1	1	0.29	0	5846.37801660586
2974766	1	1	2	1	1	1039.60577667145	0	0	0	0	0	0	0	1	0	0	20140939	2	2	0	0	0	0	2	0	0.1	0	2079.21155334291
2974766	2	1	1	1	1	1039.60577667145	0	1	0	0	0	0	0	1	1	0	20140939	2	1	0	0	0	0	1	0	0.3	0	1039.60577667145
2974767	1	1	2	1	1	862.547440802238	0	0	0	0	0	0	0	1	0	0	20140939	2	2	0	0	0	0	2	0	0.1	0	1725.09488160448
2974768	1	1	4	1	1	891.133367722644	0	0	0	0	0	0	0	1	1	0	20140939	3	7	0	0	0	0	4	0	0.2	0	6237.93357405851
2974770	1	1	4	1	1	349.838300808074	0	0	0	0	0	0	0	1	0	0	20140939	9	5	0	0	0	0	4	0	0.1	0	1749.19150404037
2974771	1	1	3	1	1	1772.2808712248	0	0	1	1	0	0	0	1	0	0	20140939	2	5	0	0	0	0	3	0	0.2	0	8861.40435612398
2974772	1	1	2	1	1	997.106440645054	0	1	0	0	0	0	0	0	0	0	20140939	2	3	0	0	0	0	2	0	0.1	0	2991.31932193516
2974773	1	1	1	2	1	256.398378950337	1	1	0	0	0	0	1	1	0	0	20140939	9	1	0	0	0	0	1	0	0.4	1	256.398378950337
2974774	1	1	3	1	1	1993.21789115413	0	0	0	0	0	0	0	1	1	1	20140939	2	5	0	0	0	0	3	0	0.3	0	9966.08945577065
2974775	1	1	2	1	1	2018.30315970582	0	1	0	0	0	0	0	1	0	0	20140939	2	3	0	0	0	0	2	0	0.2	0	6054.90947911747
2974776	1	1	2	1	1	1174.12159793586	0	0	0	0	0	0	0	1	0	0	20140939	2	4	0	0	0	0	2	0	0.1	0	4696.48639174344
2974776	2	1	1	1	1	1174.12159793586	0	1	0	1	0	0	1	1	1	0	20140939	2	1	0	0	0	0	1	0	0.45	1	1174.12159793586
2974777	1	1	2	2	1	315.306551300369	0	1	0	0	0	0	0	1	0	0	20140939	9	3	0	1	0	1	2	0	0.28	0	945.919653901106
2974778	1	1	1	1	1	1101.93801292618	0	1	0	0	0	0	0	0	1	0	20140939	2	2	0	0	0	0	1	0	0.2	0	2203.87602585235
2974779	1	1	1	1	1	831.951757596177	0	1	0	0	0	0	0	1	0	0	20140939	2	2	0	0	0	0	1	0	0.2	0	1663.90351519235
2974780	1	1	1	1	1	1017.03406254787	0	1	0	0	0	0	1	1	0	0	20140939	2	2	0	0	0	0	1	0	0.3	0	2034.06812509575
2974780	2	1	1	1	1	1017.03406254787	0	0	0	0	0	0	0	0	0	0	20140939	2	1	0	0	0	0	1	0	0	0	1017.03406254787
2974781	1	1	2	1	1	1083.45652796016	0	1	0	0	0	0	0	1	0	0	20140939	2	3	0	0	0	0	2	0	0.2	0	3250.36958388047
2974782	1	1	2	1	1	736.297450512004	1	1	0	1	0	0	0	1	0	0	20140939	2	6	0	0	0	0	2	0	0.35	1	4417.78470307202
2974783	1	1	2	1	1	1019.23588778731	0	1	0	0	0	0	0	1	0	0	20140939	2	3	0	0	0	0	2	0	0.2	0	3057.70766336192
2974784	1	1	1	1	1	878.792735133818	0	1	0	0	0	0	1	0	0	0	20140939	3	1	0	0	0	0	1	0	0.2	0	878.792735133818
2974785	1	1	1	1	1	779.397965203505	0	1	0	0	0	0	0	1	1	0	20140939	2	4	0	0	0	0	1	1	0.34	1	3117.59186081402
2974786	1	1	1	1	1	831.951757596177	0	1	0	0	0	0	0	1	0	0	20140939	2	2	0	0	0	0	1	0	0.2	0	1663.90351519235
2974787	1	1	1	1	1	1101.93801292618	0	0	0	0	0	0	0	0	0	0	20140939	2	2	0	0	0	0	1	0	0	0	2203.87602585235
2974788	1	1	1	1	1	1762.41105219762	0	1	0	0	0	0	1	1	0	0	20140939	2	2	0	0	0	0	1	0	0.3	0	3524.82210439524
2974789	1	1	3	2	1	383.852989597625	0	0	0	0	0	0	0	1	0	0	20140939	9	3	0	0	0	0	3	0	0.1	0	1151.55896879287
2974790	1	1	3	1	1	448.243853599829	1	1	1	1	0	0	0	1	1	0	20140939	2	7	0	0	0	0	3	0	0.5	1	3137.7069751988
2974791	1	1	2	2	1	409.763244267344	0	1	0	1	0	0	0	1	0	0	20140939	9	4	0	1	0	0	2	0	0.29	0	1639.05297706938
2974792	1	1	3	1	1	316.998274582777	0	0	0	1	0	0	0	0	0	0	20140939	9	3	0	0	0	0	3	0	0.05	0	950.994823748332
