DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P3	P4005	P4015	P8520S3	P8520S5
2974899	1	1	1	1	6	1	1
2974900	1	1	1	1	4	1	1
2974901	1	1	1	1	4	1	1
2974902	1	1	1	1	4	1	1
2974903	1	1	1	1	4	1	1
2974904	1	1	1	1	4	1	1
2974905	1	1	1	1	6	1	1
2974906	1	1	1	1	3	1	1
2974907	1	1	2	3	6	1	1
2974908	1	1	1	1	3	1	1
2974909	1	1	3	5	7	2	2
2974910	1	1	1	1	4	1	1
2974911	1	1	1	1	4	1	1
2974912	1	1	2	3	6	1	1
2974913	1	1	1	1	2	1	1
2974914	1	1	2	1	6	1	1
2974915	1	1	3	5	7	2	2
2974916	1	1	1	1	4	1	1
2974917	1	1	1	1	4	1	1
2974918	1	1	2	1	6	1	1
2974919	1	1	2	1	6	1	1
2974920	1	1	1	1	4	1	1
2974921	1	1	1	1	4	1	1
2974922	1	1	1	1	4	1	1
2974923	1	1	1	1	6	1	1
2974924	1	1	1	1	6	1	1
2974925	1	1	1	6	4	1	1
2974926	1	1	1	1	4	1	1
2974927	1	1	1	1	4	1	1
2974928	1	1	1	1	4	1	1
2974931	1	1	1	1	4	1	1
2974932	1	1	1	1	5	1	1
2974933	1	1	1	1	4	1	1
2974934	1	1	1	1	4	1	1
2974936	1	1	1	1	6	1	1
2974937	1	1	1	1	4	1	1
2974938	1	1	1	1	4	1	1
2974939	1	1	1	1	4	1	1
2974941	1	1	1	1	4	1	1
2974942	1	1	1	1	6	1	1
2974943	1	1	1	1	4	1	1
2974944	1	1	1	1	4	1	1
2974945	1	1	1	1	4	1	1
2974946	1	1	2	1	4	1	1
2974947	1	1	1	1	4	1	1
2974948	1	1	1	1	6	1	1
2974949	1	1	1	1	4	1	1
2974950	1	1	1	1	6	1	1
2974951	1	1	1	1	6	1	1
2974952	1	1	1	1	4	1	1
2974953	1	1	1	1	6	1	1
2974954	1	1	1	1	4	1	1
2974955	1	1	1	4	6	1	1
2974956	1	1	1	4	6	1	1
2974957	1	1	1	1	4	1	1
2974958	1	1	1	1	4	1	1
2974959	1	1	1	1	6	1	1
2974961	1	1	1	1	4	1	1
2974962	1	1	1	1	4	1	1
2974963	1	1	1	1	4	1	1
2974964	1	1	1	1	4	1	1
2974965	1	1	1	1	6	2	1
2974966	1	1	1	1	4	1	1
2974967	1	1	1	1	4	1	1
2974968	1	1	1	1	4	1	1
2974969	1	1	1	1	4	1	1
2974970	1	1	1	1	6	2	1
2974971	1	1	1	1	7	2	1
2974972	1	1	1	1	4	1	1
2974973	1	1	1	1	4	1	1
2974974	1	1	1	1	4	1	1
2974975	1	1	1	1	7	2	1
2974976	1	1	1	1	4	1	1
2974977	1	1	1	1	4	1	1
2974978	1	1	1	1	4	1	1
2974979	1	1	1	1	6	1	1
2974980	1	1	1	1	4	1	1
2974982	1	1	1	1	4	1	1
2974983	1	1	1	1	6	2	1
2974985	1	1	1	1	6	2	1
2974986	1	1	1	1	4	1	1
2974987	1	1	1	1	4	2	1
2974989	1	1	1	1	4	1	1
2974990	1	1	1	1	4	1	1
2974991	1	1	1	1	4	1	1
2974992	1	1	1	1	6	1	1
2974993	1	1	1	1	4	1	1
2974994	1	1	1	1	6	2	1
2974995	1	1	1	1	4	1	1
2974996	1	1	1	1	4	1	1
2974997	1	1	1	3	5	1	1
2974999	1	1	1	1	4	1	1
2975000	1	1	1	1	6	1	1
2975001	1	1	1	1	4	1	1
2975002	1	1	1	1	4	1	1
2975003	1	1	1	1	6	1	1
2975004	1	1	1	1	3	1	1
2975005	1	1	1	1	3	1	1
2975006	1	1	1	1	6	1	1
2975007	1	1	1	1	4	1	1
2975008	1	1	1	1	4	1	1
2975009	1	1	1	1	4	1	1
2975012	1	1	1	1	4	1	1
2975013	1	1	1	1	6	1	1
2975014	1	1	1	1	4	1	1
2975015	1	1	2	1	6	1	1
2975016	1	1	1	1	4	1	1
2975017	1	1	1	1	4	1	1
2975018	1	1	1	1	4	1	1
2975019	1	1	1	1	4	1	1
2975020	1	1	1	1	5	1	1
2975021	1	1	1	2	4	1	1
2975022	1	1	1	1	3	1	1
2975023	1	1	1	1	4	1	1
2975024	1	1	1	5	6	1	1
2975025	1	1	1	1	4	1	1
2975026	1	1	1	1	6	1	1
2975028	1	1	1	5	5	1	1
2975029	1	1	1	1	6	1	1
2975391	1	1	1	1	6	1	1
2975392	1	1	1	1	4	1	1
2975393	1	1	1	1	4	1	1
2975394	1	1	1	1	4	1	2
2975395	1	1	1	1	4	1	1
2975397	1	1	1	1	4	1	2
2975399	1	1	1	1	6	1	1
2975400	1	1	1	1	2	1	1
2975401	1	1	1	1	4	1	2
2975402	1	1	1	1	4	1	1
2975403	1	1	1	1	4	1	1
2975404	1	1	1	1	4	1	1
2975405	1	1	1	1	4	1	2
