PERIODO	DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6040	FEX_C	P6090	P5665	P8563	P51	P55	P6160	P8586	P8587	P8587S1	P1088	P1088S1	P6180	P6240	P6250	P6260	P6270	P6351	P6390S1	P7250	P6920
20140939	2974741	4	1	4	11	591.04587044651	1	2				1	1			3	6	2								
20140939	2974741	5	1	5	6	591.04587044651	1	2				1	1			2	1	2								
20140939	2974741	6	1	6	3	591.04587044651	1	2		1	1															
20140939	2974742	1	1	1	68	631.014089236542	1	2				1	2	1	0				5							2
20140939	2974742	2	1	2	35	631.014089236542	1	2				1	2	3	2				4	2	2	2	2			2
20140939	2974742	3	1	3	59	631.014089236542	1	2				1	2	3	1				1					118		2
20140939	2974742	4	1	4	8	631.014089236542	1	2				1	1			2	2	1								
20140939	2974742	5	1	5	6	631.014089236542	1	2				1	1			2	1	1								
20140939	2974743	1	1	1	40	1410.34512525105	1	2				1	2	4	9				1					5040		2
20140939	2974744	1	1	1	34	342.326184756915	1	2				1	2	5	11				1					5529		2
